Variable: position_embedding, Shape: (200, 96), Total parameters: 19200
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: gamma, Shape: (96,), Total parameters: 96
Variable: beta, Shape: (96,), Total parameters: 96
Variable: gamma, Shape: (96,), Total parameters: 96
Variable: beta, Shape: (96,), Total parameters: 96
Variable: gamma, Shape: (96,), Total parameters: 96
Variable: beta, Shape: (96,), Total parameters: 96
Variable: gamma, Shape: (96,), Total parameters: 96
Variable: beta, Shape: (96,), Total parameters: 96
Variable: gamma, Shape: (96,), Total parameters: 96
Variable: beta, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (288, 32), Total parameters: 9216
Variable: bias, Shape: (32,), Total parameters: 32
Variable: kernel, Shape: (32, 1), Total parameters: 32
Variable: bias, Shape: (1,), Total parameters: 1
Variable: kernel, Shape: (96, 384), Total parameters: 36864
Variable: recurrent_kernel, Shape: (96, 384), Total parameters: 36864
Variable: bias, Shape: (384,), Total parameters: 384
Variable: kernel, Shape: (96, 384), Total parameters: 36864
Variable: recurrent_kernel, Shape: (96, 384), Total parameters: 36864
Variable: bias, Shape: (384,), Total parameters: 384
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Variable: kernel, Shape: (96, 96), Total parameters: 9216
Variable: bias, Shape: (96,), Total parameters: 96
Total trainable parameters: 20952706
